start_time,peak_time,proton_flux,flare_peak_time,flare_class,flare_location,flare_region,TARP_num
1997-11-04 08:30:00,1997-11-04 11:20:00,72,1997-11-04 05:58:00,X2,S14W33,8100,000581
1997-11-06 13:05:00,1997-11-07 02:55:00,490,1997-11-06 11:55:00,X9,S18W63,8100,000581
1998-04-20 14:00:00,1998-04-21 12:05:00,1700,1998-04-20 10:21:00,M1,S43W90,8194,000983
1998-05-02 14:20:00,1998-05-02 16:50:00,150,1998-05-02 13:42:00,X1,S15W15,8210,001041
1998-05-06 08:45:00,1998-05-06 09:45:00,210,1998-05-06 08:09:00,X2,S11W65,8210,001041
1999-05-05 18:20:00,1999-05-05 19:55:00,14,1999-05-03 06:02:00,M4,N15E32,8525,001758
1999-06-04 09:25:00,1999-06-04 10:55:00,64,1999-06-04 07:03:00,M3,N17W69,8552,001859
2000-02-18 11:30:00,2000-02-18 12:15:00,13,2000-02-17 20:35:00,M1,S29E07,8872,003104
2000-04-04 20:55:00,2000-04-05 09:30:00,55,2000-04-04 15:41:00,C9,N16W66,8933,003322
2000-06-07 13:35:00,2000-06-08 09:40:00,84,2000-06-06 15:25:00,X2,N20E18,9026,003732
2000-06-10 18:05:00,2000-06-10 20:45:00,46,2000-06-10 17:02:00,M5,N22W38,9026,003732
2000-07-14 10:45:00,2000-07-15 12:30:00,24000,2000-07-14 10:24:00,X5,N22W07,9077,003928
2000-07-22 13:20:00,2000-07-22 14:05:00,17,2000-07-22 11:34:00,M3,N14W56,9085,003928
2000-07-28 10:50:00,2000-07-28 11:30:00,18,2000-07-27 04:10:00,M2,N72W10,9090,003979
2000-09-12 15:55:00,2000-09-13 03:40:00,320,2000-09-12 12:13:00,M1,S17W09,9163,004285
2000-10-26 00:40:00,2000-10-26 03:40:00,15,2000-10-25 11:25:00,C4,N00W90,9201,004484
2000-11-08 23:50:00,2000-11-09 15:55:00,14800,2000-11-08 23:28:00,M7,N00W75,9213,004566
2000-11-24 15:20:00,2000-11-26 20:30:00,940,2000-11-24 05:02:00,X2,N20W05,9236,004681
2001-01-28 20:25:00,2001-01-29 06:55:00,49,2001-01-28 16:00:00,M1,S04W59,9313,005023
2001-03-29 16:35:00,2001-03-30 06:10:00,35,2001-03-29 10:15:00,X1,N14W12,9393,005318
2001-04-02 23:40:00,2001-04-03 07:45:00,1110,2001-04-02 21:51:00,X20,N18W82,9393,005318
2001-04-10 08:50:00,2001-04-11 20:55:00,355,2001-04-10 05:26:00,X2,S23W09,9415,005392
2001-04-15 14:10:00,2001-04-15 19:20:00,951,2001-04-15 13:50:00,X14,S20W85,9415,005392
2001-04-28 04:30:00,2001-04-28 05:00:00,57,2001-04-26 13:12:00,M7,N17W31,9433,005489
2001-08-10 10:20:00,2001-08-10 11:55:00,17,2001-08-09 11:22:00,C3,Disk center,9570,006001
2001-09-15 14:35:00,2001-09-15 14:55:00,11,2001-09-15 11:28:00,M1,S21W49,9608,006143
2001-09-24 12:15:00,2001-09-25 22:35:00,12900,2001-09-24 10:38:00,X2,S16E23,9632,006209
2001-10-01 11:45:00,2001-10-02 08:10:00,2360,2001-10-01 05:15:00,M9,S22W91,9628,006209
2001-10-19 22:25:00,2001-10-19 22:35:00,11,2001-10-19 16:30:00,X1,N15W29,9661,006337
2001-10-22 19:10:00,2001-10-22 21:30:00,24,2001-10-22 17:59:00,X1,S18E16,9672,006368
